Name,Location,Price,Ratings,Reviews,Reviews Score
FabHotel The Hastings Club - Nr Victoria Memorial,Kolkata,1363,Wonderful,Wonderful,6
Vivanta Kolkata EM Bypass,Kolkata,5000,Very Good,Very Good,871
Novotel Kolkata Hotel and Residences,"New Town, Kolkata",4699,Very Good,Very Good,1608
Hyatt Regency Kolkata,"Salt Lake, Kolkata",6200,Very Good,Very Good,1619
Holiday Inn Express Kolkata Airport by IHG,Kolkata,4999,Good,Good,1700
The Bypass Nest-with Private Cozy Attached Terrace,Kolkata,2160,No Reviews,No Reviews,Not Available
FabExpress Moon Residency,"Salt Lake, Kolkata",1597,Very Good,Very Good,30
Hotel O The Orchid Residency,Kolkata,1821,No Reviews,No Reviews,Not Available
Hotel O Mamoni Guest House,Kolkata,2401,No Reviews,No Reviews,Not Available
Hotel O S. R. ROYALE,Kolkata,2983,No Reviews,No Reviews,Not Available
Fairfield by Marriott Kolkata,"New Town, Kolkata",1999,Very Good,Very Good,1957
Collection O Rabindra Sadan Metro Station Formerly Hotel Gardenia,"Ballygunge, Kolkata",2158,No Reviews,No Reviews,Not Available
Super Collection O Kasba Near Acropolis Mall,Kolkata,1602,Good,Good,90
Nivaasa Apt by JadeCapsNr Taj BengalACWIFI,Kolkata,5174,No Reviews,No Reviews,Not Available
Misti home behala,Kolkata,1360,No Reviews,No Reviews,Not Available
Behala stay,Kolkata,1400,No Reviews,No Reviews,Not Available
ibis Kolkata Rajarhat - An Accor Brand,"New Town, Kolkata",3299,Review score,Review score,1613
"Howard Johnson by Wyndham, Kolkata Airport","New Town, Kolkata",1889,Good,Good,531
Holiday Inn Kolkata Airport by IHG,"New Town, Kolkata",4099,Good,Good,880
Super Hotel O HAVEN INN,"New Town, Kolkata",792,Review score,Review score,26
Super Townhouse New Town Near DLF,"New Town, Kolkata",1486,Review score,Review score,101
Hyatt Centric Ballygunge Kolkata,"Ballygunge, Kolkata",6500,Excellent,Excellent,292
"Hotel Shabnam near Park Street,Esplanade,New Market",Kolkata,597,Review score,Review score,35
"Hotel Hindusthan International, Kolkata","Park Street, Kolkata",5857,Review score,Review score,522
LYNQ AERO,"Salt Lake, Kolkata",3637,Good,Good,252
Super Townhouse VIP Road Formerly The Sky,Kolkata,2019,Excellent,Excellent,63
FabHotel Prime Jalsa - Nr Axis Mall,"New Town, Kolkata",1855,Very Good,Very Good,123
FabExpress Nest - Nr Park Street Metro Station,Kolkata,1278,Very Good,Very Good,273
FabExpress Step Inn - Nr Biswa Bangla Gate,"New Town, Kolkata",1276,Excellent,Excellent,699
Gram Bangla Retreat,Kolkata,1620,Good,Good,96
FabHotel Globe Express - Nr Ruby Hospital,Kolkata,1226,Very Good,Very Good,165
Super Hotel O Uttar Panchanna,Kolkata,1186,Exceptional,Exceptional,1
"Service Apartments, Park Street, Calcutta",Kolkata,3450,Excellent,Excellent,236
Red Arrow Residency,Kolkata,2170,Excellent,Excellent,430
The Moira - Bed and Breakfast,"Park Street, Kolkata",5999,Wonderful,Wonderful,276
Om Shanti Guest House - Near Ruby General Hospital & Science City,Kolkata,1199,Excellent,Excellent,16
Hotel Holiday Express,Kolkata,1283,Good,Good,240
Vedic Village Spa Resort Kolkata,Kolkata,6326,Review score,Review score,260
